CVEGEO,distrito,area_km2,centroid_lat,centroid_lon
2501200010321,Centro Histórico,0.3237,23.210167,-106.419285
2501200010336,Centro Histórico,0.3025,23.211588,-106.41458
2501200010355,Centro Histórico,0.4502,23.206717,-106.424831
250120001036A,Centro Histórico,0.3731,23.206577,-106.415417
2501200010389,Centro Histórico,0.4482,23.200814,-106.427067
2501200010393,Centro Histórico,0.2362,23.203127,-106.4213
2501200010406,Centro Histórico,0.2508,23.200719,-106.420101
2501200010425,Centro Histórico,1.1616,23.187564,-106.424479
2501200011495,Centro Histórico,0.2959,23.197305,-106.420156
2501200011067,Cerritos,7.5431,23.296056,-106.473147
2501200012192,Cerritos,2.5054,23.2738,-106.455072
2501200013881,Cerritos,0.6674,23.28832,-106.452969
2501200013966,Cerritos,1.1058,23.283858,-106.457582
2501200010904,Conchi - Libramiento,0.0883,23.248445,-106.387388
2501200010919,Conchi - Libramiento,0.1164,23.24934,-106.388846
2501200011404,Conchi - Libramiento,0.3423,23.258264,-106.405748
2501200011781,Conchi - Libramiento,0.5739,23.254915,-106.397687
2501200011796,Conchi - Libramiento,0.1779,23.251299,-106.391341
2501200011955,Conchi - Libramiento,0.3761,23.269319,-106.413623
2501200011989,Conchi - Libramiento,0.2854,23.259205,-106.400188
2501200012050,Conchi - Libramiento,0.2998,23.278844,-106.405219
2501200012065,Conchi - Libramiento,0.2904,23.272618,-106.405594
2501200012084,Conchi - Libramiento,0.2493,23.274111,-106.410855
2501200012099,Conchi - Libramiento,0.1985,23.265394,-106.397203
2501200012101,Conchi - Libramiento,0.2271,23.261027,-106.394823
2501200012169,Conchi - Libramiento,0.4461,23.269491,-106.400874
2501200012205,Conchi - Libramiento,0.2212,23.260223,-106.385095
250120001221A,Conchi - Libramiento,0.3204,23.254151,-106.385899
2501200012224,Conchi - Libramiento,0.2737,23.26271,-106.390414
2501200012417,Conchi - Libramiento,0.1976,23.257898,-106.390063
2501200012544,Conchi - Libramiento,0.1854,23.268723,-106.407499
2501200012559,Conchi - Libramiento,0.3493,23.264133,-106.405235
2501200012563,Conchi - Libramiento,0.247,23.262346,-106.400908
2501200012597,Conchi - Libramiento,0.199,23.257789,-106.385386
2501200012633,Conchi - Libramiento,0.3285,23.278136,-106.410986
2501200012690,Conchi - Libramiento,0.0368,23.268295,-106.397734
2501200012703,Conchi - Libramiento,0.2068,23.25422,-106.39183
2501200012879,Conchi - Libramiento,0.5245,23.247594,-106.393258
250120001292A,Conchi - Libramiento,0.2921,23.264175,-106.41045
2501200012934,Conchi - Libramiento,0.1322,23.268584,-106.410147
2501200013097,Conchi - Libramiento,0.164,23.265265,-106.392551
2501200010463,Desarrollos Noroeste,0.2307,23.293444,-106.417483
2501200010482,Desarrollos Noroeste,0.0947,23.295636,-106.429613
2501200010497,Desarrollos Noroeste,0.2812,23.299091,-106.4354
250120001050A,Desarrollos Noroeste,0.1206,23.316161,-106.423852
2501200010529,Desarrollos Noroeste,0.0481,23.282352,-106.443635
2501200010571,Desarrollos Noroeste,0.0753,23.299659,-106.42935
2501200010586,Desarrollos Noroeste,0.0381,23.294775,-106.43945
2501200012648,Desarrollos Noroeste,0.7461,23.284996,-106.41308
