CVEGEO,AGEB,district,establishments,area_km2,est_per_km2,scian_classes,micro_0_10_pct,large_31_plus_pct,top_sector_code,top_sector_name,top_sector_count,top_sector_share_pct
2501200010393,0393,Centro Histórico,719,0.2362,3044.0,142,95.0,1.4,46,Comercio al por menor,439,61.1
2501200010321,0321,Centro Histórico,489,0.3237,1510.7,162,94.9,1.0,46,Comercio al por menor,175,35.8
2501200010355,0355,Centro Histórico,397,0.4502,881.8,129,94.0,1.5,46,Comercio al por menor,161,40.6
2501200010406,0406,Centro Histórico,334,0.2508,1331.7,130,80.2,4.8,46,Comercio al por menor,66,19.8
2501200010336,0336,Centro Histórico,282,0.3025,932.2,120,95.7,0.7,46,Comercio al por menor,84,29.8
250120001036A,036A,Centro Histórico,214,0.3731,573.6,109,90.2,3.3,46,Comercio al por menor,52,24.3
2501200011495,1495,Centro Histórico,155,0.2959,523.8,75,84.5,5.2,72,Alojamiento temporal y preparación de alimentos y bebidas,40,25.8
2501200010389,0389,Centro Histórico,129,0.4482,287.8,76,76.0,7.8,72,Alojamiento temporal y preparación de alimentos y bebidas,40,31.0
2501200010425,0425,Centro Histórico,113,1.1616,97.3,62,73.5,8.0,72,Alojamiento temporal y preparación de alimentos y bebidas,30,26.5
2501200012192,2192,Cerritos,302,2.5054,120.5,102,75.5,6.6,46,Comercio al por menor,116,38.4
2501200011067,1067,Cerritos,172,7.5431,22.8,51,80.8,8.1,72,Alojamiento temporal y preparación de alimentos y bebidas,48,27.9
2501200013881,3881,Cerritos,22,0.6674,33.0,20,45.5,27.3,72,Alojamiento temporal y preparación de alimentos y bebidas,5,22.7
2501200013966,3966,Cerritos,2,1.1058,1.8,2,50.0,50.0,53,Servicios inmobiliarios y de alquiler,1,50.0
2501200012205,2205,Conchi - Libramiento,230,0.2212,1039.8,90,97.4,0.4,46,Comercio al por menor,89,38.7
2501200011781,1781,Conchi - Libramiento,172,0.5739,299.7,86,91.3,1.2,46,Comercio al por menor,52,30.2
2501200011989,1989,Conchi - Libramiento,136,0.2854,476.5,68,94.9,0.0,46,Comercio al por menor,43,31.6
2501200011404,1404,Conchi - Libramiento,135,0.3423,394.4,68,86.7,4.4,46,Comercio al por menor,63,46.7
2501200012224,2224,Conchi - Libramiento,108,0.2737,394.6,55,96.3,0.0,46,Comercio al por menor,39,36.1
2501200012050,2050,Conchi - Libramiento,104,0.2998,346.9,55,95.2,1.0,46,Comercio al por menor,33,31.7
2501200012879,2879,Conchi - Libramiento,102,0.5245,194.5,63,82.4,7.8,46,Comercio al por menor,24,23.5
2501200012559,2559,Conchi - Libramiento,100,0.3493,286.3,49,97.0,0.0,46,Comercio al por menor,30,30.0
2501200012544,2544,Conchi - Libramiento,98,0.1854,528.6,49,98.0,1.0,46,Comercio al por menor,33,33.7
2501200012633,2633,Conchi - Libramiento,95,0.3285,289.2,62,83.2,3.2,46,Comercio al por menor,31,32.6
250120001221A,221A,Conchi - Libramiento,93,0.3204,290.3,54,87.1,4.3,46,Comercio al por menor,42,45.2
250120001292A,292A,Conchi - Libramiento,93,0.2921,318.4,58,96.8,0.0,46,Comercio al por menor,37,39.8
2501200012169,2169,Conchi - Libramiento,91,0.4461,204.0,48,87.9,2.2,46,Comercio al por menor,30,33.0
2501200012563,2563,Conchi - Libramiento,88,0.247,356.3,51,92.0,1.1,46,Comercio al por menor,26,29.5
2501200011955,1955,Conchi - Libramiento,80,0.3761,212.7,53,85.0,2.5,46,Comercio al por menor,31,38.8
2501200012934,2934,Conchi - Libramiento,79,0.1322,597.6,44,93.7,1.3,46,Comercio al por menor,29,36.7
2501200012084,2084,Conchi - Libramiento,77,0.2493,308.9,37,94.8,2.6,46,Comercio al por menor,25,32.5
2501200011796,1796,Conchi - Libramiento,71,0.1779,399.1,37,100.0,0.0,46,Comercio al por menor,21,29.6
2501200012065,2065,Conchi - Libramiento,68,0.2904,234.2,39,89.7,1.5,46,Comercio al por menor,25,36.8
2501200012101,2101,Conchi - Libramiento,62,0.2271,273.0,44,98.4,0.0,81,Otros servicios excepto gobierno,20,32.3
2501200012597,2597,Conchi - Libramiento,60,0.199,301.5,31,100.0,0.0,46,Comercio al por menor,20,33.3
2501200012703,2703,Conchi - Libramiento,56,0.2068,270.8,36,98.2,0.0,46,Comercio al por menor,17,30.4
2501200010904,0904,Conchi - Libramiento,56,0.0883,634.2,24,94.6,1.8,46,Comercio al por menor,23,41.1
2501200010919,0919,Conchi - Libramiento,46,0.1164,395.2,29,91.3,2.2,46,Comercio al por menor,15,32.6
2501200012099,2099,Conchi - Libramiento,28,0.1985,141.1,15,96.4,0.0,81,Otros servicios excepto gobierno,11,39.3
2501200012417,2417,Conchi - Libramiento,19,0.1976,96.2,14,84.2,10.5,46,Comercio al por menor,6,31.6
2501200013097,3097,Conchi - Libramiento,17,0.164,103.7,14,88.2,5.9,46,Comercio al por menor,8,47.1
2501200012690,2690,Conchi - Libramiento,8,0.0368,217.4,6,87.5,12.5,72,Alojamiento temporal y preparación de alimentos y bebidas,3,37.5
2501200012648,2648,Desarrollos Noroeste,183,0.7461,245.3,79,89.6,3.8,46,Comercio al por menor,57,31.1
2501200013025,3025,Desarrollos Noroeste,138,0.2961,466.1,67,86.2,0.7,46,Comercio al por menor,40,29.0
250120001328A,328A,Desarrollos Noroeste,87,0.3458,251.6,48,95.4,2.3,46,Comercio al por menor,25,28.7
2501200013491,3491,Desarrollos Noroeste,44,0.1928,228.2,28,95.5,2.3,81,Otros servicios excepto gobierno,16,36.4
250120001303A,303A,Desarrollos Noroeste,43,0.1923,223.6,29,95.3,2.3,46,Comercio al por menor,14,32.6
2501200014288,4288,Desarrollos Noroeste,41,0.2262,181.3,25,100.0,0.0,46,Comercio al por menor,14,34.1
2501200013720,3720,Desarrollos Noroeste,41,0.0704,582.4,26,87.8,4.9,46,Comercio al por menor,13,31.7
2501200014042,4042,Desarrollos Noroeste,20,0.0665,300.8,19,95.0,0.0,46,Comercio al por menor,9,45.0
2501200013699,3699,Desarrollos Noroeste,15,0.1068,140.4,15,60.0,6.7,46,Comercio al por menor,4,26.7
2501200010529,0529,Desarrollos Noroeste,10,0.0481,207.9,7,90.0,10.0,81,Otros servicios excepto gobierno,5,50.0
2501200013716,3716,Desarrollos Noroeste,8,0.1905,42.0,8,100.0,0.0,81,Otros servicios excepto gobierno,3,37.5
2501200013504,3504,Desarrollos Noroeste,7,0.044,159.1,7,100.0,0.0,46,Comercio al por menor,4,57.1
2501200014343,4343,Desarrollos Noroeste,5,0.1668,30.0,3,80.0,20.0,81,Otros servicios excepto gobierno,3,60.0
2501200015820,5820,Desarrollos Noroeste,4,0.0384,104.2,3,100.0,0.0,46,Comercio al por menor,2,50.0
2501200010497,0497,Desarrollos Noroeste,4,0.2812,14.2,2,50.0,0.0,81,Otros servicios excepto gobierno,3,75.0
250120001050A,050A,Desarrollos Noroeste,3,0.1206,24.9,1,100.0,0.0,81,Otros servicios excepto gobierno,3,100.0
2501200013294,3294,Desarrollos Noroeste,3,0.1575,19.0,3,100.0,0.0,46,Comercio al por menor,1,33.3
2501200014076,4076,Desarrollos Noroeste,2,0.0999,20.0,1,100.0,0.0,81,Otros servicios excepto gobierno,2,100.0
2501200013701,3701,Desarrollos Noroeste,1,0.0638,15.7,1,100.0,0.0,81,Otros servicios excepto gobierno,1,100.0
2501200013970,3970,Desarrollos Noroeste,1,0.0567,17.6,1,100.0,0.0,81,Otros servicios excepto gobierno,1,100.0
2501200010482,0482,Desarrollos Noroeste,1,0.0947,10.6,1,100.0,0.0,81,Otros servicios excepto gobierno,1,100.0
2501200014216,4216,Desarrollos Noroeste,0,0.1376,0.0,0,,,,,0,0.0
250120001374A,374A,Desarrollos Noroeste,0,0.006,0.0,0,,,,,0,0.0
2501200010463,0463,Desarrollos Noroeste,0,0.2307,0.0,0,,,,,0,0.0
2501200010586,0586,Desarrollos Noroeste,0,0.0381,0.0,0,,,,,0,0.0
2501200014038,4038,Desarrollos Noroeste,0,0.0128,0.0,0,,,,,0,0.0
2501200013487,3487,Desarrollos Noroeste,0,0.0094,0.0,0,,,,,0,0.0
2501200010571,0571,Desarrollos Noroeste,0,0.0753,0.0,0,,,,,0,0.0
2501200014057,4057,Desarrollos Noroeste,0,0.0089,0.0,0,,,,,0,0.0
2501200012031,2031,Expansión Norte,207,0.3265,634.0,72,96.6,0.5,46,Comercio al por menor,68,32.9
250120001214A,214A,Expansión Norte,134,0.2972,450.9,59,94.8,1.5,46,Comercio al por menor,54,40.3
2501200012135,2135,Expansión Norte,129,0.313,412.1,56,95.3,0.8,31-33,Industrias manufactureras,34,26.4
2501200013307,3307,Expansión Norte,114,0.2135,534.0,51,94.7,1.8,46,Comercio al por menor,44,38.6
2501200013449,3449,Expansión Norte,95,0.1972,481.7,44,100.0,0.0,46,Comercio al por menor,35,36.8
2501200012173,2173,Expansión Norte,84,0.1441,582.9,47,100.0,0.0,46,Comercio al por menor,29,34.5
2501200012154,2154,Expansión Norte,83,0.289,287.2,51,96.4,0.0,46,Comercio al por menor,31,37.3
2501200012972,2972,Expansión Norte,82,0.2399,341.8,45,96.3,0.0,46,Comercio al por menor,32,39.0
2501200013114,3114,Expansión Norte,82,0.3036,270.1,41,97.6,0.0,46,Comercio al por menor,22,26.8
2501200012987,2987,Expansión Norte,68,0.191,356.0,35,94.1,2.9,46,Comercio al por menor,27,39.7
2501200012718,2718,Expansión Norte,62,0.2291,270.6,30,100.0,0.0,46,Comercio al por menor,21,33.9
2501200014273,4273,Expansión Norte,62,0.2627,236.0,31,98.4,1.6,46,Comercio al por menor,29,46.8
2501200012991,2991,Expansión Norte,58,0.124,467.7,33,100.0,0.0,46,Comercio al por menor,20,34.5
2501200013561,3561,Expansión Norte,54,0.1962,275.2,33,98.1,0.0,46,Comercio al por menor,25,46.3
2501200013792,3792,Expansión Norte,53,0.1805,293.6,28,96.2,3.8,46,Comercio al por menor,20,37.7
2501200013580,3580,Expansión Norte,51,0.1149,443.9,31,100.0,0.0,46,Comercio al por menor,21,41.2
2501200013538,3538,Expansión Norte,50,0.2656,188.3,23,98.0,0.0,46,Comercio al por menor,18,36.0
2501200012686,2686,Expansión Norte,49,0.2751,178.1,35,98.0,0.0,46,Comercio al por menor,21,42.9
2501200014305,4305,Expansión Norte,48,0.2281,210.4,22,100.0,0.0,46,Comercio al por menor,29,60.4
2501200012811,2811,Expansión Norte,47,0.1167,402.7,26,95.7,2.1,46,Comercio al por menor,19,40.4
2501200012188,2188,Expansión Norte,36,0.2687,134.0,20,97.2,0.0,46,Comercio al por menor,16,44.4
2501200013129,3129,Expansión Norte,35,0.1061,329.9,19,100.0,0.0,46,Comercio al por menor,11,31.4
2501200013453,3453,Expansión Norte,35,0.4133,84.7,25,100.0,0.0,46,Comercio al por menor,14,40.0
2501200013985,3985,Expansión Norte,33,0.1098,300.5,22,100.0,0.0,46,Comercio al por menor,14,42.4
2501200013542,3542,Expansión Norte,32,0.0921,347.4,16,100.0,0.0,46,Comercio al por menor,12,37.5
