district,establishments,share_codesin_pct,share_municipal_pct,ageb_assigned,ageb_active_2025,est_per_ageb,area_km2,est_per_km2,scian_classes,hhi_sectorial,diversity_normalized,micro_0_10_pct,large_31_plus_pct
Juárez - Villa Galaxia,3951,15.54,14.66,25,25,158.0,7.041,561.1,373,0.198,0.677,95.4,1.1
Prados - Mateos,3509,13.8,13.02,27,27,130.0,8.672,404.6,348,0.182,0.704,93.0,2.1
Centro Histórico,2832,11.14,10.51,9,9,314.7,3.842,737.1,344,0.197,0.702,90.5,2.6
Conchi - Libramiento,2372,9.33,8.8,28,28,84.7,7.35,322.7,287,0.199,0.682,92.8,1.7
Malecón,2326,9.15,8.63,5,5,465.2,3.787,614.2,314,0.134,0.788,85.4,5.6
Puerto - Industria,2199,8.65,8.16,24,23,91.6,8.701,252.7,292,0.183,0.716,90.6,4.0
Expansión Norte,2043,8.04,7.58,64,54,31.9,7.997,255.5,202,0.226,0.636,97.5,0.6
Zona Dorada,1560,6.14,5.79,7,6,222.9,6.426,242.8,252,0.169,0.718,82.2,5.4
Flores Magón,1460,5.74,5.42,19,17,76.8,5.036,289.9,189,0.252,0.599,96.4,1.0
Jabalíes - Zapata,1101,4.33,4.09,9,9,122.3,3.657,301.1,198,0.202,0.667,94.0,1.2
Urías,910,3.58,3.38,45,34,20.2,5.194,175.2,167,0.243,0.613,93.7,2.0
Desarrollos Noroeste,661,2.6,2.45,29,21,22.8,4.124,160.3,156,0.181,0.73,90.6,2.6
Cerritos,498,1.96,1.85,4,4,124.5,11.822,42.1,131,0.178,0.719,75.9,8.2
